judicial_district_county_id,county_ansi_code,is_entire_county,county_name,judicial_district_id,statutory_division
01043-0,01043,TRUE,County of Cullman,Alabama Northern,Northeastern Division
01049-0,01049,TRUE,County of DeKalb,Alabama Northern,Middle Division
01055-0,01055,TRUE,County of Etowah,Alabama Northern,Middle Division
01057-0,01057,TRUE,County of Fayette,Alabama Northern,Jasper Division
01059-0,01059,TRUE,County of Franklin,Alabama Northern,Northwestern Division
01063-0,01063,TRUE,County of Greene,Alabama Northern,Western Division
01071-0,01071,TRUE,County of Jackson,Alabama Northern,Northeastern Division
01073-0,01073,TRUE,County of Jefferson,Alabama Northern,Southern Division
01075-0,01075,TRUE,County of Lamar,Alabama Northern,Jasper Division
01077-0,01077,TRUE,County of Lauderdale,Alabama Northern,Northwestern Division
01079-0,01079,TRUE,County of Lawrence,Alabama Northern,Northeastern Division
01083-0,01083,TRUE,County of Limestone,Alabama Northern,Northeastern Division
01089-0,01089,TRUE,County of Madison,Alabama Northern,Northeastern Division
01093-0,01093,TRUE,County of Marion,Alabama Northern,Jasper Division
01095-0,01095,TRUE,County of Marshall,Alabama Northern,Middle Division
01103-0,01103,TRUE,County of Morgan,Alabama Northern,Northeastern Division
01107-0,01107,TRUE,County of Pickens,Alabama Northern,Western Division
01115-0,01115,TRUE,County of St. Clair,Alabama Northern,Middle Division
01117-0,01117,TRUE,County of Shelby,Alabama Northern,Southern Division
01119-0,01119,TRUE,County of Sumter,Alabama Northern,Western Division
01121-0,01121,TRUE,County of Talladega,Alabama Northern,Eastern Division
01125-0,01125,TRUE,County of Tuscaloosa,Alabama Northern,Western Division
01127-0,01127,TRUE,County of Walker,Alabama Northern,Jasper Division
01133-0,01133,TRUE,County of Winston,Alabama Northern,Jasper Division
01003-0,01003,TRUE,County of Baldwin,Alabama Southern,Mobile Division
01023-0,01023,TRUE,County of Choctaw,Alabama Southern,Mobile Division
01025-0,01025,TRUE,County of Clarke,Alabama Southern,Mobile Division
01035-0,01035,TRUE,County of Conecuh,Alabama Southern,Mobile Division
01047-0,01047,TRUE,County of Dallas,Alabama Southern,Selma Division
01053-0,01053,TRUE,County of Escambia,Alabama Southern,Mobile Division
01065-0,01065,TRUE,County of Hale,Alabama Southern,Selma Division
01091-0,01091,TRUE,County of Marengo,Alabama Southern,Selma Division
01097-0,01097,TRUE,County of Mobile,Alabama Southern,Mobile Division
01099-0,01099,TRUE,County of Monroe,Alabama Southern,Mobile Division
01105-0,01105,TRUE,County of Perry,Alabama Southern,Selma Division
01129-0,01129,TRUE,County of Washington,Alabama Southern,Mobile Division
01131-0,01131,TRUE,County of Wilcox,Alabama Southern,Selma Division
02013-0,02013,TRUE,Aleutians East Borough,Alaska,
02016-0,02016,TRUE,Aleutians West Census Area,Alaska,
02020-0,02020,TRUE,Municipality of Anchorage,Alaska,
02050-0,02050,TRUE,Bethel Census Area,Alaska,
02060-0,02060,TRUE,Bristol Bay Borough,Alaska,
02068-0,02068,TRUE,Denali Borough,Alaska,
02070-0,02070,TRUE,Dillingham Census Area,Alaska,
02090-0,02090,TRUE,Fairbanks North Star Borough,Alaska,
02100-0,02100,TRUE,Haines Borough,Alaska,
02105-0,02105,TRUE,Hoonah-Angoon Census Area,Alaska,
02110-0,02110,TRUE,City and Borough of Juneau,Alaska,
02122-0,02122,TRUE,Kenai Peninsula Borough,Alaska,
02130-0,02130,TRUE,Ketchikan Gateway Borough,Alaska,
02150-0,02150,TRUE,Kodiak Island Borough,Alaska,
02158-0,02158,TRUE,Kusilvak Census Area,Alaska,
02164-0,02164,TRUE,Lake and Peninsula Borough,Alaska,
02170-0,02170,TRUE,Matanuska-Susitna Borough,Alaska,
02180-0,02180,TRUE,Nome Census Area,Alaska,
02185-0,02185,TRUE,North Slope Borough,Alaska,
02188-0,02188,TRUE,Northwest Arctic Borough,Alaska,
02195-0,02195,TRUE,Petersburg Borough,Alaska,
02198-0,02198,TRUE,Prince of Wales-Hyder Census Area,Alaska,
02220-0,02220,TRUE,City and Borough of Sitka,Alaska,
02230-0,02230,TRUE,Municipality of Skagway,Alaska,
02240-0,02240,TRUE,Southeast Fairbanks Census Area,Alaska,
02261-0,02261,TRUE,Valdez-Cordova Census Area,Alaska,
02275-0,02275,TRUE,City and Borough of Wrangell,Alaska,
02282-0,02282,TRUE,City and Borough of Yakutat,Alaska,
02290-0,02290,TRUE,Yukon-Koyukuk Census Area,Alaska,
04001-0,04001,TRUE,County of Apache,Arizona,
04003-0,04003,TRUE,County of Cochise,Arizona,
04005-0,04005,TRUE,County of Coconino,Arizona,
04007-0,04007,TRUE,County of Gila,Arizona,
04009-0,04009,TRUE,County of Graham,Arizona,
04011-0,04011,TRUE,County of Greenlee,Arizona,
04012-0,04012,TRUE,County of La Paz,Arizona,
04013-0,04013,TRUE,County of Maricopa,Arizona,
04015-0,04015,TRUE,County of Mohave,Arizona,
04017-0,04017,TRUE,County of Navajo,Arizona,
04019-0,04019,TRUE,County of Pima,Arizona,
04021-0,04021,TRUE,County of Pinal,Arizona,
04023-0,04023,TRUE,County of Santa Cruz,Arizona,
04025-0,04025,TRUE,County of Yavapai,Arizona,
04027-0,04027,TRUE,County of Yuma,Arizona,
05001-0,05001,TRUE,County of Arkansas,Arkansas Eastern,Pine Bluff Division
05017-0,05017,TRUE,County of Chicot,Arkansas Eastern,Pine Bluff Division
05021-0,05021,TRUE,County of Clay,Arkansas Eastern,Jonesboro Division
05023-0,05023,TRUE,County of Cleburne,Arkansas Eastern,Northern Division
05025-0,05025,TRUE,County of Cleveland,Arkansas Eastern,Pine Bluff Division
05029-0,05029,TRUE,County of Conway,Arkansas Eastern,Western Division
05031-0,05031,TRUE,County of Craighead,Arkansas Eastern,Jonesboro Division
05035-0,05035,TRUE,County of Crittenden,Arkansas Eastern,Jonesboro Division
05037-0,05037,TRUE,County of Cross,Arkansas Eastern,Eastern Division
05039-0,05039,TRUE,County of Dallas,Arkansas Eastern,Pine Bluff Division
05041-0,05041,TRUE,County of Desha,Arkansas Eastern,Pine Bluff Division
05043-0,05043,TRUE,County of Drew,Arkansas Eastern,Pine Bluff Division
05045-0,05045,TRUE,County of Faulkner,Arkansas Eastern,Western Division
05049-0,05049,TRUE,County of Fulton,Arkansas Eastern,Northern Division
05053-0,05053,TRUE,County of Grant,Arkansas Eastern,Pine Bluff Division
05055-0,05055,TRUE,County of Greene,Arkansas Eastern,Jonesboro Division
05063-0,05063,TRUE,County of Independence,Arkansas Eastern,Northern Division
05065-0,05065,TRUE,County of Izard,Arkansas Eastern,Northern Division
05067-0,05067,TRUE,County of Jackson,Arkansas Eastern,Northern Division
05069-0,05069,TRUE,County of Jefferson,Arkansas Eastern,Pine Bluff Division
05075-0,05075,TRUE,County of Lawrence,Arkansas Eastern,Jonesboro Division
05077-0,05077,TRUE,County of Lee,Arkansas Eastern,Eastern Division
05079-0,05079,TRUE,County of Lincoln,Arkansas Eastern,Pine Bluff Division
05085-0,05085,TRUE,County of Lonoke,Arkansas Eastern,Western Division
05093-0,05093,TRUE,County of Mississippi,Arkansas Eastern,Jonesboro Division
05095-0,05095,TRUE,County of Monroe,Arkansas Eastern,Eastern Division
05105-0,05105,TRUE,County of Perry,Arkansas Eastern,Western Division
05107-0,05107,TRUE,County of Phillips,Arkansas Eastern,Eastern Division
05111-0,05111,TRUE,County of Poinsett,Arkansas Eastern,Jonesboro Division
05115-0,05115,TRUE,County of Pope,Arkansas Eastern,Western Division
05117-0,05117,TRUE,County of Prairie,Arkansas Eastern,Western Division
05119-0,05119,TRUE,County of Pulaski,Arkansas Eastern,Western Division
05121-0,05121,TRUE,County of Randolph,Arkansas Eastern,Jonesboro Division
05123-0,05123,TRUE,County of St. Francis,Arkansas Eastern,Eastern Division
05125-0,05125,TRUE,County of Saline,Arkansas Eastern,Western Division
05135-0,05135,TRUE,County of Sharp,Arkansas Eastern,Northern Division
05137-0,05137,TRUE,County of Stone,Arkansas Eastern,Northern Division
05141-0,05141,TRUE,County of Van Buren,Arkansas Eastern,Western Division
05145-0,05145,TRUE,County of White,Arkansas Eastern,Western Division
05147-0,05147,TRUE,County of Woodruff,Arkansas Eastern,Eastern Division
05149-0,05149,TRUE,County of Yell,Arkansas Eastern,Western Division
05003-0,05003,TRUE,County of Ashley,Arkansas Western,El Dorado Division
05005-0,05005,TRUE,County of Baxter,Arkansas Western,Harrison Division
05007-0,05007,TRUE,County of Benton,Arkansas Western,Fayetteville Division
05009-0,05009,TRUE,County of Boone,Arkansas Western,Harrison Division
05011-0,05011,TRUE,County of Bradley,Arkansas Western,El Dorado Division
05013-0,05013,TRUE,County of Calhoun,Arkansas Western,El Dorado Division
05015-0,05015,TRUE,County of Carroll,Arkansas Western,Harrison Division
05019-0,05019,TRUE,County of Clark,Arkansas Western,Hot Springs Division
05027-0,05027,TRUE,County of Columbia,Arkansas Western,El Dorado Division
05033-0,05033,TRUE,County of Crawford,Arkansas Western,Fort Smith Division
05047-0,05047,TRUE,County of Franklin,Arkansas Western,Fort Smith Division
05051-0,05051,TRUE,County of Garland,Arkansas Western,Hot Springs Division
05057-0,05057,TRUE,County of Hempstead,Arkansas Western,Texarkana Division
05059-0,05059,TRUE,County of Hot Spring,Arkansas Western,Hot Springs Division
05061-0,05061,TRUE,County of Howard,Arkansas Western,Texarkana Division
05071-0,05071,TRUE,County of Johnson,Arkansas Western,Fort Smith Division
05073-0,05073,TRUE,County of Lafayette,Arkansas Western,Texarkana Division
05081-0,05081,TRUE,County of Little River,Arkansas Western,Texarkana Division
05083-0,05083,TRUE,County of Logan,Arkansas Western,Fort Smith Division
05087-0,05087,TRUE,County of Madison,Arkansas Western,Fayetteville Division
05089-0,05089,TRUE,County of Marion,Arkansas Western,Harrison Division
05091-0,05091,TRUE,County of Miller,Arkansas Western,Texarkana Division
05097-0,05097,TRUE,County of Montgomery,Arkansas Western,Hot Springs Division
05099-0,05099,TRUE,County of Nevada,Arkansas Western,Texarkana Division
05101-0,05101,TRUE,County of Newton,Arkansas Western,Harrison Division
05103-0,05103,TRUE,County of Ouachita,Arkansas Western,El Dorado Division
05109-0,05109,TRUE,County of Pike,Arkansas Western,Hot Springs Division
05113-0,05113,TRUE,County of Polk,Arkansas Western,Fort Smith Division
05127-0,05127,TRUE,County of Scott,Arkansas Western,Fort Smith Division
05129-0,05129,TRUE,County of Searcy,Arkansas Western,Harrison Division
05131-0,05131,TRUE,County of Sebastian,Arkansas Western,Fort Smith Division
05133-0,05133,TRUE,County of Sevier,Arkansas Western,Texarkana Division
05139-0,05139,TRUE,County of Union,Arkansas Western,El Dorado Division
05143-0,05143,TRUE,County of Washington,Arkansas Western,Fayetteville Division
06037-0,06037,TRUE,County of Los Angeles,California Central,Western Division
06059-0,06059,TRUE,County of Orange,California Central,Southern Division
06065-0,06065,TRUE,County of Riverside,California Central,Eastern Division
06071-0,06071,TRUE,County of San Bernardino,California Central,Eastern Division
06079-0,06079,TRUE,County of San Luis Obispo,California Central,Western Division
06083-0,06083,TRUE,County of Santa Barbara,California Central,Western Division
06111-0,06111,TRUE,County of Ventura,California Central,Western Division
06003-0,06003,TRUE,County of Alpine,California Eastern,
06005-0,06005,TRUE,County of Amador,California Eastern,
06007-0,06007,TRUE,County of Butte,California Eastern,
06009-0,06009,TRUE,County of Calaveras,California Eastern,
06011-0,06011,TRUE,County of Colusa,California Eastern,
06017-0,06017,TRUE,County of El Dorado,California Eastern,
06019-0,06019,TRUE,County of Fresno,California Eastern,
06021-0,06021,TRUE,County of Glenn,California Eastern,
06027-0,06027,TRUE,County of Inyo,California Eastern,
06029-0,06029,TRUE,County of Kern,California Eastern,
06031-0,06031,TRUE,County of Kings,California Eastern,
06035-0,06035,TRUE,County of Lassen,California Eastern,
06039-0,06039,TRUE,County of Madera,California Eastern,
06043-0,06043,TRUE,County of Mariposa,California Eastern,
06047-0,06047,TRUE,County of Merced,California Eastern,
06049-0,06049,TRUE,County of Modoc,California Eastern,
06051-0,06051,TRUE,County of Mono,California Eastern,
06057-0,06057,TRUE,County of Nevada,California Eastern,
06061-0,06061,TRUE,County of Placer,California Eastern,
06063-0,06063,TRUE,County of Plumas,California Eastern,
06067-0,06067,TRUE,County of Sacramento,California Eastern,
06077-0,06077,TRUE,County of San Joaquin,California Eastern,
06089-0,06089,TRUE,County of Shasta,California Eastern,
06091-0,06091,TRUE,County of Sierra,California Eastern,
06093-0,06093,TRUE,County of Siskiyou,California Eastern,
06095-0,06095,TRUE,County of Solano,California Eastern,
06099-0,06099,TRUE,County of Stanislaus,California Eastern,
06101-0,06101,TRUE,County of Sutter,California Eastern,
06103-0,06103,TRUE,County of Tehama,California Eastern,
06105-0,06105,TRUE,County of Trinity,California Eastern,
06107-0,06107,TRUE,County of Tulare,California Eastern,
06109-0,06109,TRUE,County of Tuolumne,California Eastern,
06113-0,06113,TRUE,County of Yolo,California Eastern,
06115-0,06115,TRUE,County of Yuba,California Eastern,
06001-0,06001,TRUE,County of Alameda,California Northern,
06013-0,06013,TRUE,County of Contra Costa,California Northern,
06015-0,06015,TRUE,County of Del Norte,California Northern,
06023-0,06023,TRUE,County of Humboldt,California Northern,
06033-0,06033,TRUE,County of Lake,California Northern,
06041-0,06041,TRUE,County of Marin,California Northern,
06045-0,06045,TRUE,County of Mendocino,California Northern,
06053-0,06053,TRUE,County of Monterey,California Northern,
06055-0,06055,TRUE,County of Napa,California Northern,
06069-0,06069,TRUE,County of San Benito,California Northern,
06075-0,06075,TRUE,City and County of San Francisco,California Northern,
06081-0,06081,TRUE,County of San Mateo,California Northern,
06085-0,06085,TRUE,County of Santa Clara,California Northern,
06087-0,06087,TRUE,County of Santa Cruz,California Northern,
06097-0,06097,TRUE,County of Sonoma,California Northern,
06025-0,06025,TRUE,County of Imperial,California Southern,
06073-0,06073,TRUE,County of San Diego,California Southern,
08001-0,08001,TRUE,County of Adams,Colorado,
08003-0,08003,TRUE,County of Alamosa,Colorado,
08005-0,08005,TRUE,County of Arapahoe,Colorado,
08007-0,08007,TRUE,County of Archuleta,Colorado,
08009-0,08009,TRUE,County of Baca,Colorado,
08011-0,08011,TRUE,County of Bent,Colorado,
08013-0,08013,TRUE,County of Boulder,Colorado,
08014-0,08014,TRUE,City and County of Broomfield,Colorado,
08015-0,08015,TRUE,County of Chaffee,Colorado,
08017-0,08017,TRUE,County of Cheyenne,Colorado,
08019-0,08019,TRUE,County of Clear Creek,Colorado,
08021-0,08021,TRUE,County of Conejos,Colorado,
08023-0,08023,TRUE,County of Costilla,Colorado,
08025-0,08025,TRUE,County of Crowley,Colorado,
08027-0,08027,TRUE,County of Custer,Colorado,
08029-0,08029,TRUE,County of Delta,Colorado,
08031-0,08031,TRUE,City and County of Denver,Colorado,
08033-0,08033,TRUE,County of Dolores,Colorado,
08035-0,08035,TRUE,County of Douglas,Colorado,
08037-0,08037,TRUE,County of Eagle,Colorado,
08039-0,08039,TRUE,County of Elbert,Colorado,
08041-0,08041,TRUE,County of El Paso,Colorado,
08043-0,08043,TRUE,County of Fremont,Colorado,
08045-0,08045,TRUE,County of Garfield,Colorado,
08047-0,08047,TRUE,County of Gilpin,Colorado,
08049-0,08049,TRUE,County of Grand,Colorado,
08051-0,08051,TRUE,County of Gunnison,Colorado,
08053-0,08053,TRUE,County of Hinsdale,Colorado,
08055-0,08055,TRUE,County of Huerfano,Colorado,
08057-0,08057,TRUE,County of Jackson,Colorado,
08059-0,08059,TRUE,County of Jefferson,Colorado,
08061-0,08061,TRUE,County of Kiowa,Colorado,
08063-0,08063,TRUE,County of Kit Carson,Colorado,
08065-0,08065,TRUE,County of Lake,Colorado,
08067-0,08067,TRUE,County of La Plata,Colorado,
08069-0,08069,TRUE,County of Larimer,Colorado,
08071-0,08071,TRUE,County of Las Animas,Colorado,
08073-0,08073,TRUE,County of Lincoln,Colorado,
08075-0,08075,TRUE,County of Logan,Colorado,
08077-0,08077,TRUE,County of Mesa,Colorado,
08079-0,08079,TRUE,County of Mineral,Colorado,
08081-0,08081,TRUE,County of Moffat,Colorado,
08083-0,08083,TRUE,County of Montezuma,Colorado,
08085-0,08085,TRUE,County of Montrose,Colorado,
08087-0,08087,TRUE,County of Morgan,Colorado,
08089-0,08089,TRUE,County of Otero,Colorado,
08091-0,08091,TRUE,County of Ouray,Colorado,
08093-0,08093,TRUE,County of Park,Colorado,
08095-0,08095,TRUE,County of Phillips,Colorado,
08097-0,08097,TRUE,County of Pitkin,Colorado,
08099-0,08099,TRUE,County of Prowers,Colorado,
08101-0,08101,TRUE,County of Pueblo,Colorado,
08103-0,08103,TRUE,County of Rio Blanco,Colorado,
08105-0,08105,TRUE,County of Rio Grande,Colorado,
08107-0,08107,TRUE,County of Routt,Colorado,
08109-0,08109,TRUE,County of Saguache,Colorado,
08111-0,08111,TRUE,County of San Juan,Colorado,
08113-0,08113,TRUE,County of San Miguel,Colorado,
08115-0,08115,TRUE,County of Sedgwick,Colorado,
08117-0,08117,TRUE,County of Summit,Colorado,
08119-0,08119,TRUE,County of Teller,Colorado,
08121-0,08121,TRUE,County of Washington,Colorado,
08123-0,08123,TRUE,County of Weld,Colorado,
08125-0,08125,TRUE,County of Yuma,Colorado,
09001-0,09001,TRUE,County of Fairfield,Connecticut,
09003-0,09003,TRUE,County of Hartford,Connecticut,
09005-0,09005,TRUE,County of Litchfield,Connecticut,
09007-0,09007,TRUE,County of Middlesex,Connecticut,
09009-0,09009,TRUE,County of New Haven,Connecticut,
09011-0,09011,TRUE,County of New London,Connecticut,
09013-0,09013,TRUE,County of Tolland,Connecticut,
09015-0,09015,TRUE,County of Windham,Connecticut,
10001-0,10001,TRUE,County of Kent,Delaware,
10003-0,10003,TRUE,County of New Castle,Delaware,
10005-0,10005,TRUE,County of Sussex,Delaware,
11001-0,11001,TRUE,District of Columbia,District of Columbia,
12003-0,12003,TRUE,County of Baker,Florida Middle,
12007-0,12007,TRUE,County of Bradford,Florida Middle,
12009-0,12009,TRUE,County of Brevard,Florida Middle,
12015-0,12015,TRUE,County of Charlotte,Florida Middle,
12017-0,12017,TRUE,County of Citrus,Florida Middle,
12019-0,12019,TRUE,County of Clay,Florida Middle,
12021-0,12021,TRUE,County of Collier,Florida Middle,
12023-0,12023,TRUE,County of Columbia,Florida Middle,
12027-0,12027,TRUE,County of DeSoto,Florida Middle,
12031-0,12031,TRUE,County of Duval,Florida Middle,
12035-0,12035,TRUE,County of Flagler,Florida Middle,
12043-0,12043,TRUE,County of Glades,Florida Middle,
12047-0,12047,TRUE,County of Hamilton,Florida Middle,
12049-0,12049,TRUE,County of Hardee,Florida Middle,
12051-0,12051,TRUE,County of Hendry,Florida Middle,
12053-0,12053,TRUE,County of Hernando,Florida Middle,
12057-0,12057,TRUE,County of Hillsborough,Florida Middle,
12069-0,12069,TRUE,County of Lake,Florida Middle,
12071-0,12071,TRUE,County of Lee,Florida Middle,
12081-0,12081,TRUE,County of Manatee,Florida Middle,
12083-0,12083,TRUE,County of Marion,Florida Middle,
12089-0,12089,TRUE,County of Nassau,Florida Middle,
12095-0,12095,TRUE,County of Orange,Florida Middle,
12097-0,12097,TRUE,County of Osceola,Florida Middle,
12101-0,12101,TRUE,County of Pasco,Florida Middle,
12103-0,12103,TRUE,County of Pinellas,Florida Middle,
12105-0,12105,TRUE,County of Polk,Florida Middle,
12107-0,12107,TRUE,County of Putnam,Florida Middle,
12109-0,12109,TRUE,County of St. Johns,Florida Middle,
12115-0,12115,TRUE,County of Sarasota,Florida Middle,
12117-0,12117,TRUE,County of Seminole,Florida Middle,
12119-0,12119,TRUE,County of Sumter,Florida Middle,
12121-0,12121,TRUE,County of Suwannee,Florida Middle,
12125-0,12125,TRUE,County of Union,Florida Middle,
12127-0,12127,TRUE,County of Volusia,Florida Middle,
12001-0,12001,TRUE,County of Alachua,Florida Northern,
12005-0,12005,TRUE,County of Bay,Florida Northern,
12013-0,12013,TRUE,County of Calhoun,Florida Northern,
12029-0,12029,TRUE,County of Dixie,Florida Northern,
12033-0,12033,TRUE,County of Escambia,Florida Northern,
12037-0,12037,TRUE,County of Franklin,Florida Northern,
12039-0,12039,TRUE,County of Gadsden,Florida Northern,
12041-0,12041,TRUE,County of Gilchrist,Florida Northern,
12045-0,12045,TRUE,County of Gulf,Florida Northern,
12059-0,12059,TRUE,County of Holmes,Florida Northern,
12063-0,12063,TRUE,County of Jackson,Florida Northern,
12065-0,12065,TRUE,County of Jefferson,Florida Northern,
12067-0,12067,TRUE,County of Lafayette,Florida Northern,
12073-0,12073,TRUE,County of Leon,Florida Northern,
12075-0,12075,TRUE,County of Levy,Florida Northern,
12077-0,12077,TRUE,County of Liberty,Florida Northern,
12079-0,12079,TRUE,County of Madison,Florida Northern,
12091-0,12091,TRUE,County of Okaloosa,Florida Northern,
12113-0,12113,TRUE,County of Santa Rosa,Florida Northern,
12123-0,12123,TRUE,County of Taylor,Florida Northern,
12129-0,12129,TRUE,County of Wakulla,Florida Northern,
12131-0,12131,TRUE,County of Walton,Florida Northern,
12133-0,12133,TRUE,County of Washington,Florida Northern,
12011-0,12011,TRUE,County of Broward,Florida Southern,
12055-0,12055,TRUE,County of Highlands,Florida Southern,
12061-0,12061,TRUE,County of Indian River,Florida Southern,
12085-0,12085,TRUE,County of Martin,Florida Southern,
12086-0,12086,TRUE,County of Miami-Dade,Florida Southern,
12087-0,12087,TRUE,County of Monroe,Florida Southern,
12093-0,12093,TRUE,County of Okeechobee,Florida Southern,
12099-0,12099,TRUE,County of Palm Beach,Florida Southern,
12111-0,12111,TRUE,County of St. Lucie,Florida Southern,
13007-0,13007,TRUE,County of Baker,Georgia Middle,Albany Division
13009-0,13009,TRUE,County of Baldwin,Georgia Middle,Macon Division
13017-0,13017,TRUE,County of Ben Hill,Georgia Middle,Americus Division
13019-0,13019,TRUE,County of Berrien,Georgia Middle,Valdosta Division
13021-0,13021,TRUE,County of Bibb,Georgia Middle,Macon Division
13023-0,13023,TRUE,County of Bleckley,Georgia Middle,Macon Division
13027-0,13027,TRUE,County of Brooks,Georgia Middle,Thomasville Division
13035-0,13035,TRUE,County of Butts,Georgia Middle,Macon Division
13037-0,13037,TRUE,County of Calhoun,Georgia Middle,Albany Division
13053-0,13053,TRUE,County of Chattahoochee,Georgia Middle,Columbus Division
13059-0,13059,TRUE,County of Clarke,Georgia Middle,Athens Division
13061-0,13061,TRUE,County of Clay,Georgia Middle,Columbus Division
13065-0,13065,TRUE,County of Clinch,Georgia Middle,Valdosta Division
13071-0,13071,TRUE,County of Colquitt,Georgia Middle,Thomasville Division
13075-0,13075,TRUE,County of Cook,Georgia Middle,Valdosta Division
13079-0,13079,TRUE,County of Crawford,Georgia Middle,Macon Division
13081-0,13081,TRUE,County of Crisp,Georgia Middle,Americus Division
13087-0,13087,TRUE,County of Decatur,Georgia Middle,Thomasville Division
13093-0,13093,TRUE,County of Dooly,Georgia Middle,Americus Division
13095-0,13095,TRUE,County of Dougherty,Georgia Middle,Albany Division
13099-0,13099,TRUE,County of Early,Georgia Middle,Albany Division
13101-0,13101,TRUE,County of Echols,Georgia Middle,Valdosta Division
13105-0,13105,TRUE,County of Elbert,Georgia Middle,Athens Division
13119-0,13119,TRUE,County of Franklin,Georgia Middle,Athens Division
13131-0,13131,TRUE,County of Grady,Georgia Middle,Thomasville Division
13133-0,13133,TRUE,County of Greene,Georgia Middle,Athens Division
13141-0,13141,TRUE,County of Hancock,Georgia Middle,Macon Division
13145-0,13145,TRUE,County of Harris,Georgia Middle,Columbus Division
13147-0,13147,TRUE,County of Hart,Georgia Middle,Athens Division
13153-0,13153,TRUE,County of Houston,Georgia Middle,Macon Division
13155-0,13155,TRUE,County of Irwin,Georgia Middle,Valdosta Division
13159-0,13159,TRUE,County of Jasper,Georgia Middle,Macon Division
13169-0,13169,TRUE,County of Jones,Georgia Middle,Macon Division
13171-0,13171,TRUE,County of Lamar,Georgia Middle,Macon Division
13173-0,13173,TRUE,County of Lanier,Georgia Middle,Valdosta Division
13177-0,13177,TRUE,County of Lee,Georgia Middle,Americus Division
13185-0,13185,TRUE,County of Lowndes,Georgia Middle,Valdosta Division
13193-0,13193,TRUE,County of Macon,Georgia Middle,Americus Division
13195-0,13195,TRUE,County of Madison,Georgia Middle,Athens Division
13197-0,13197,TRUE,County of Marion,Georgia Middle,Columbus Division
13201-0,13201,TRUE,County of Miller,Georgia Middle,Albany Division
13205-0,13205,TRUE,County of Mitchell,Georgia Middle,Albany Division
13207-0,13207,TRUE,County of Monroe,Georgia Middle,Macon Division
13211-0,13211,TRUE,County of Morgan,Georgia Middle,Athens Division
13215-0,13215,TRUE,County of Muscogee,Georgia Middle,Columbus Division
13219-0,13219,TRUE,County of Oconee,Georgia Middle,Athens Division
13221-0,13221,TRUE,County of Oglethorpe,Georgia Middle,Athens Division
13225-0,13225,TRUE,County of Peach,Georgia Middle,Macon Division
13235-0,13235,TRUE,County of Pulaski,Georgia Middle,Macon Division
